,coldest_year,coldest_week_commencing,coldest_week_mean_temp,2ndcoldest_year,2ndcoldest_week_commencing,2ndcoldest_week_mean_temp
AT,1985,1985-01-05 00:00:00,-13.190466068049124,1996,1996-12-26 00:00:00,-11.477316803884063
BE,1987,1987-01-11 00:00:00,-7.671913416443252,1985,1985-01-13 00:00:00,-7.425347505988374
CZ,1996,1996-12-26 00:00:00,-14.955217459475561,1987,1987-01-10 00:00:00,-14.832213845247594
DE,1987,1987-01-11 00:00:00,-10.926726755952147,1985,1985-01-05 00:00:00,-9.879638564825148
DK,1987,1987-01-09 00:00:00,-10.596961255698085,1985,1985-02-08 00:00:00,-8.731105593219313
EE,1987,1987-01-06 00:00:00,-22.7003336636667,1985,1985-02-05 00:00:00,-18.132054356619044
GB,1982,1982-01-08 00:00:00,-3.0363163167968232,1987,1987-01-11 00:00:00,-2.882142051853123
GR,1987,1987-03-04 00:00:00,-0.015684005904808673,2002,2002-01-02 00:00:00,0.9237487363175289
HR,1985,1985-01-06 00:00:00,-9.300266578704685,2012,2012-02-04 00:00:00,-8.205949337110258
HU,1996,1996-12-25 00:00:00,-12.33793536918942,1985,1985-01-06 00:00:00,-10.62155861242518
IE,2010,2010-12-19 00:00:00,-1.1037551036832018,1982,1982-01-07 00:00:00,-1.0523007446327366
IT,1985,1985-01-06 00:00:00,-1.323064865605621,2012,2012-02-04 00:00:00,0.9048822422185249
LT,2006,2006-01-18 00:00:00,-19.605456685705274,1987,1987-01-05 00:00:00,-18.453213977032497
LV,1987,1987-01-06 00:00:00,-20.27003292006435,2006,2006-01-18 00:00:00,-18.498714265474153
NL,1987,1987-01-11 00:00:00,-8.369264014242924,1996,1996-12-31 00:00:00,-7.765612181663341
PL,1987,1987-01-10 00:00:00,-15.18704433879371,2010,2010-01-21 00:00:00,-14.285714244819204
RO,2012,2012-01-27 00:00:00,-12.595346652292903,1985,1985-01-11 00:00:00,-12.024779266165114
SI,1985,1985-01-05 00:00:00,-10.781672862871925,1996,1996-12-25 00:00:00,-10.710804374767658
SK,1987,1987-01-08 00:00:00,-14.03631405533642,1985,1985-01-05 00:00:00,-13.936170682998297
CH,1985,1985-01-05 00:00:00,-13.857997623600848,2012,2012-02-03 00:00:00,-11.640678187704452
FI,1987,1987-01-06 00:00:00,-28.797158397611206,1985,1985-01-03 00:00:00,-23.155851041567406
NO,1987,1987-01-09 00:00:00,-15.061022667817282,1982,1982-01-02 00:00:00,-13.269739597159836
SE,1987,1987-01-07 00:00:00,-17.690999268392947,1985,1985-02-14 00:00:00,-14.648025590326542
PT,1985,1985-01-09 00:00:00,5.591273289505968,2009,2009-01-06 00:00:00,5.902668266923752
BG,2012,2012-01-27 00:00:00,-12.605866306678958,2017,2017-01-06 00:00:00,-11.337755902563922
ES,1985,1985-01-10 00:00:00,2.093895414805975,1983,1983-02-09 00:00:00,3.0027237344020676
FR,1985,1985-01-11 00:00:00,-6.849930516813644,1987,1987-01-11 00:00:00,-6.3978949461241275
LU,1985,1985-01-08 00:00:00,-9.74444020155364,1996,1996-12-27 00:00:00,-9.110976291980924
UA,2006,2006-01-20 00:00:00,-17.379820292932468,2010,2010-01-21 00:00:00,-15.827307537111398
